,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date,name,final_volume
55,92.58,94.58,90.63,94.04,45570273.0,94.58,90.63,94.04,92.58,45570273.0,AMD,XNAS,2020-12-04 00:00:00+00:00,Advanced Micro Devices Inc,45570273.0
54,94.95,95.0,92.97,94.07,39815654.0,95.0,92.97,94.07,94.95,39815654.0,AMD,XNAS,2020-12-07 00:00:00+00:00,Advanced Micro Devices Inc,39815654.0
53,94.05,94.74,91.9,92.92,33907510.0,94.74,91.9,92.92,94.05,33907510.0,AMD,XNAS,2020-12-08 00:00:00+00:00,Advanced Micro Devices Inc,33907510.0
52,92.76,94.7,89.16,89.83,52170379.0,94.7,89.16,89.83,92.76,52170379.0,AMD,XNAS,2020-12-09 00:00:00+00:00,Advanced Micro Devices Inc,52170379.0
51,89.55,92.09,89.0297,91.66,33804412.0,92.09,89.0297,91.66,89.55,33804412.0,AMD,XNAS,2020-12-10 00:00:00+00:00,Advanced Micro Devices Inc,33804412.0
50,91.54,92.33,90.16,91.65,28368145.0,92.33,90.16,91.65,91.54,28368145.0,AMD,XNAS,2020-12-11 00:00:00+00:00,Advanced Micro Devices Inc,28368145.0
49,92.205,95.41,91.85,94.78,48026426.0,95.41,91.85,94.78,92.205,48026426.0,AMD,XNAS,2020-12-14 00:00:00+00:00,Advanced Micro Devices Inc,48026426.0
48,95.93,97.98,95.45,97.12,57305100.0,97.98,95.45,97.12,95.93,57305100.0,AMD,XNAS,2020-12-15 00:00:00+00:00,Advanced Micro Devices Inc,57305100.0
47,97.04,97.27,95.46,96.85,34909037.0,97.27,95.46,96.85,97.04,34909037.0,AMD,XNAS,2020-12-16 00:00:00+00:00,Advanced Micro Devices Inc,34909037.0
46,97.55,97.92,96.25,96.84,32023734.0,97.92,96.25,96.84,97.55,32023734.0,AMD,XNAS,2020-12-17 00:00:00+00:00,Advanced Micro Devices Inc,32023734.0
45,97.27,97.68,93.56,95.92,51823103.0,97.68,93.56,95.92,97.27,51823103.0,AMD,XNAS,2020-12-18 00:00:00+00:00,Advanced Micro Devices Inc,51823103.0
44,94.25,95.28,91.08,93.23,47093891.0,95.28,91.08,93.23,94.25,47093891.0,AMD,XNAS,2020-12-21 00:00:00+00:00,Advanced Micro Devices Inc,47093891.0
43,93.36,93.55,90.53,93.16,35717836.0,93.55,90.53,93.16,93.36,35717836.0,AMD,XNAS,2020-12-22 00:00:00+00:00,Advanced Micro Devices Inc,35717836.0
42,93.08,93.13,91.46,91.55,25993348.0,93.13,91.46,91.55,93.08,25993348.0,AMD,XNAS,2020-12-23 00:00:00+00:00,Advanced Micro Devices Inc,25993348.0
41,91.8,92.51,91.31,91.81,16705909.0,92.51,91.31,91.81,91.8,16705909.0,AMD,XNAS,2020-12-24 00:00:00+00:00,Advanced Micro Devices Inc,16705909.0
40,92.93,93.14,90.82,91.6,30512512.0,93.14,90.82,91.6,92.93,30512512.0,AMD,XNAS,2020-12-28 00:00:00+00:00,Advanced Micro Devices Inc,30512512.0
39,91.66,92.46,89.4301,90.62,31748211.0,92.46,89.4301,90.62,91.66,31748211.0,AMD,XNAS,2020-12-29 00:00:00+00:00,Advanced Micro Devices Inc,31748211.0
38,90.78,92.85,90.19,92.29,25844973.0,92.85,90.19,92.29,90.78,25844973.0,AMD,XNAS,2020-12-30 00:00:00+00:00,Advanced Micro Devices Inc,25844973.0
37,92.1,92.3,90.87,91.71,24930684.0,92.3,90.87,91.71,92.1,24930684.0,AMD,XNAS,2020-12-31 00:00:00+00:00,Advanced Micro Devices Inc,24930684.0
36,92.11,96.06,90.915,92.3,51802552.0,96.06,90.915,92.3,92.11,51802552.0,AMD,XNAS,2021-01-04 00:00:00+00:00,Advanced Micro Devices Inc,51802552.0
35,92.1,93.2077,91.41,92.77,34207989.0,93.2077,91.41,92.77,92.1,34207989.0,AMD,XNAS,2021-01-05 00:00:00+00:00,Advanced Micro Devices Inc,34207989.0
34,91.62,92.28,89.46,90.33,51911657.0,92.28,89.46,90.33,91.62,51911657.0,AMD,XNAS,2021-01-06 00:00:00+00:00,Advanced Micro Devices Inc,51911657.0
33,91.33,95.51,91.2,95.16,42897157.0,95.51,91.2,95.16,91.33,42897157.0,AMD,XNAS,2021-01-07 00:00:00+00:00,Advanced Micro Devices Inc,42897157.0
32,95.98,96.4,93.27,94.58,39816400.0,96.4,93.27,94.58,95.98,39816400.0,AMD,XNAS,2021-01-08 00:00:00+00:00,Advanced Micro Devices Inc,39816400.0
31,94.025,99.23,93.76,97.25,48669103.0,99.23,93.76,97.25,94.025,48669103.0,AMD,XNAS,2021-01-11 00:00:00+00:00,Advanced Micro Devices Inc,48669103.0
30,97.86,98.97,94.07,95.355,67435038.0,98.97,94.07,95.355,97.86,67435038.0,AMD,XNAS,2021-01-12 00:00:00+00:00,Advanced Micro Devices Inc,67435038.0
29,93.01,93.89,90.84,91.78,60712896.0,93.89,90.84,91.78,93.01,60712896.0,AMD,XNAS,2021-01-13 00:00:00+00:00,Advanced Micro Devices Inc,60712896.0
28,91.77,92.36,90.45,90.79,53408241.0,92.36,90.45,90.79,91.77,53408241.0,AMD,XNAS,2021-01-14 00:00:00+00:00,Advanced Micro Devices Inc,53408241.0
27,90.75,91.59,87.86,88.21,49340338.0,91.59,87.86,88.21,90.75,49340338.0,AMD,XNAS,2021-01-15 00:00:00+00:00,Advanced Micro Devices Inc,49340338.0
26,89.56,89.58,87.24,89.45,45115055.0,89.58,87.24,89.45,89.56,45115055.0,AMD,XNAS,2021-01-19 00:00:00+00:00,Advanced Micro Devices Inc,45115055.0
25,90.55,90.78,88.6,88.75,35185810.0,90.78,88.6,88.75,90.55,35185810.0,AMD,XNAS,2021-01-20 00:00:00+00:00,Advanced Micro Devices Inc,35185810.0
